version	model	data	zh_en_bleu	zh_en_comet	en_zh_bleu	en_zh_comet	status	description
v4	0.6B-instruct	X-ALMA 14K	17.01	0.7649	29.84	0.8175	baseline	instruct model, X-ALMA only
v6	0.6B-instruct	ALMA+X-ALMA 44K	17.36	0.7645	30.00	0.8187	discard	instruct, +ALMA Human barely helps
base_v3	0.6B-Base	ALMA+X-ALMA 44K	18.03	0.7627	32.26	0.8227	keep	Base model, ChatML+im_end eos, best 0.6B
1.7b_base_v2	1.7B-Base	ALMA+X-ALMA 44K	21.58	0.7924	39.82	0.8556	BEST	Base model, ChatML+im_end eos
1.7b_freeze	1.7B-Base	ALMA+X-ALMA 44K	4.46	0.4148	3.34	0.4208	discard	Freeze embedding → completely broken
1.7b_cpo_v1	1.7B-Base+LoRA	CPO 44K pref lr=1e-5	1.20	0.5320	1.01	0.5688	discard	DPO ref_model=None broke model
1.7b_cpo_v2	1.7B-Base+LoRA	CPO 44K pref lr=1e-4	1.44	0.4693	0.70	0.5957	discard	Same problem, lr=1e-4 even worse. DPO≠CPO
1.7b_cpo_v3	1.7B-Base+LoRA	Proper CPO lr=1e-4	20.34	0.8107	35.48	0.8645	BEST	Real CPO with NLL loss! zh-en +0.018, en-zh +0.009
1.7b_alma_r	1.7B-Base+LoRA	ALMA-R pref 4.7K	19.76	0.7995	36.72	0.8618	keep	ALMA-R data less effective than self-generated (WMT22)
WMT23_hymt	HY-MT1.5-1.8B	-	17.84	0.8052	31.74	0.8669	baseline	WMT23 baseline target
WMT23_sft	1.7B-Base	ALMA+X-ALMA 44K	19.65	0.7863	40.74	0.8384	baseline	WMT23 SFT baseline
WMT23_cpo_v3	1.7B-Base+LoRA	self-gen 44K pref	20.39	0.8005	34.06	0.8463	BEST	WMT23 CPO v3 (gap to HY-MT: zh-en -0.005, en-zh -0.021)
WMT23_cpo_xalma	1.7B-Base+LoRA	X-ALMA 30K pref	17.60	0.7940	32.11	0.8426	discard	X-ALMA off-policy worse than self-gen
WMT23_cpo_alma_mix	1.7B-Base+LoRA	ALMA-R+X-ALMA 35K	18.06	0.7963	31.63	0.8442	discard	Mix also worse than self-gen
WMT23_cpo_iter2	1.7B-CPOv3+LoRA	self-gen v2 44K	22.66	0.7983	40.16	0.8458	discard	Iterative round 2 no improvement
WMT23_cpo_full	1.7B-Base full	self-gen 44K	20.20	0.7936	37.70	0.8440	discard	Full finetune CPO worse than LoRA
